check,passed,detail
expected_detail_row_count,True,"actual=27000, expected=27000"
expected_result_row_count,True,"actual=1800, expected=1800"
all_bf_fits_successful,True,
bf_reserves_nonnegative,True,
bf_formula_reconciles,True,
benchmark_proportions_valid,True,
gross_and_ceded_results_complete,True,
all_requested_scenarios_tested,True,scenarios=9
standard_equals_break_aware_without_break,True,
pre_break_variants_are_equal,True,
break_aware_uses_accelerated_post_break,True,
standard_uses_old_pattern_post_break,True,This is the deliberate pattern-misspecification case.
misspecification_sensitivity_created,True,
bf_truth_matches_step20,True,Same validated evaluation portfolios are used.
bf_estimator_has_no_oracle_inputs,True,Truth is merged only after BF estimation.
