field_name,dataset,description,unit,type,nullable,source,notes
analysis_type,master_results.csv,Role of the row in the final analysis hierarchy.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
experiment_step,master_results.csv,Dissertation step that produced the frozen source.,not applicable,integer,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
experiment_name,master_results.csv,Human-readable frozen experiment identifier.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
source_file,master_results.csv,Repository-relative CSV from which the row was derived.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
scenario_id,master_results.csv,Frozen simulation scenario identifier.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
simulation_id,master_results.csv,Simulation replicate identifier within scenario.,not applicable,integer,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
seed,master_results.csv,"Recorded random seed, when retained by the frozen source.",not applicable,string,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
model,master_results.csv,Canonical reserving model identifier.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
basis,master_results.csv,Gross or ceded reserving basis.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
success,master_results.csv,Whether the estimator or mechanics row succeeded.,not applicable,boolean,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
applicable,master_results.csv,Whether the estimator was structurally applicable.,not applicable,boolean,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
fit_attempted,master_results.csv,Whether model fitting or estimation was attempted.,not applicable,boolean,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
status,master_results.csv,"Canonical success, failure, or structural-skip status.",not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
failure_type,master_results.csv,"Frozen failure classification, if any.",not applicable,string,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
failure_message,master_results.csv,"Frozen failure detail, if any.",not applicable,string,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
applicability_reason,master_results.csv,Applicability reason.,not applicable,string,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
estimated_reserve,master_results.csv,Portfolio or AY reserve estimate.,GBP,number,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
true_reserve,master_results.csv,Matching simulated evaluation reserve truth.,GBP,number,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
reserve_error,master_results.csv,Estimated reserve minus true reserve.,GBP,number,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
percentage_error,master_results.csv,"Reserve error divided by truth, times 100.",percentage points,number,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
absolute_percentage_error,master_results.csv,Absolute value of percentage error.,percentage points,number,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
runtime_seconds,master_results.csv,Recorded source-row runtime.,seconds,number,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
tail_type,master_results.csv,Tail type.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
inflation_scenario,master_results.csv,Inflation scenario.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
structural_break,master_results.csv,Structural break.,not applicable,boolean,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
history_window_years,master_results.csv,Historical fitting-window length.,years,number,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
history_start_ay,master_results.csv,First accident year admitted to the history window.,calendar year,number,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
prior_multiplier,master_results.csv,Factor applied to the frozen independent prior.,dimensionless,number,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
pattern_variant,master_results.csv,Frozen BF development-pattern configuration.,not applicable,string,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
treaty_variant,master_results.csv,Fixed-nominal or fully-indexed treaty configuration.,not applicable,string,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
calibration_version,master_results.csv,Calibration version.,not applicable,string,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
prior_version,master_results.csv,Prior version.,not applicable,string,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
selected_alpha,master_results.csv,Regularisation strength selected from the frozen grid.,dimensionless,number,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
