output_id,output_type,title,research_question,key_message,main_caveat,backing_csv,image_or_table_path,recommended_location
figure01,main_figure,Baseline model MAPE by scenario and basis,How do reserving models perform across scenarios and bases?,Pooled conditional MAPE is lowest for Standard BF on gross and Expected Loss on ceded results.,MAPE is conditional on successful estimation; Figure 2 provides success rates.,outputs/final_analysis/step33_figures/figure01_baseline_mape.csv,outputs/final_analysis/step33_figures/figure01_baseline_mape.png,Results
figure02,main_figure,Baseline model estimation success,How should conditional accuracy be read alongside model success?,Unconditional success exposes sparse-data failures that conditional accuracy summaries necessarily exclude.,Unconditional success is not an accuracy measure.,outputs/final_analysis/step33_figures/figure02_applicability.csv,outputs/final_analysis/step33_figures/figure02_model_success.png,Results
figure03,main_figure,ML performance in structural-break scenarios,Does modelling non-stationarity improve ML reserving?,"Across break scenarios, ceded mean MAPE is 63.7% for the interaction model versus 108.7% for Poisson; gross effects remain scenario-dependent.",Bars are conditional MAPE and gross effects are mixed.,outputs/final_analysis/step33_figures/figure03_ml_break_comparison.csv,outputs/final_analysis/step33_figures/figure03_ml_break_comparison.png,Results
figure04,main_figure,Key paired model comparisons,Which differences have paired simulation-level support?,"Among the selected ceded break comparisons, paired intervals favour A in 12 of 15 rows.","Intervals are frozen Step 31 bootstrap summaries, not new hypothesis tests.",outputs/final_analysis/step33_figures/figure04_key_paired_comparisons.csv,outputs/final_analysis/step33_figures/figure04_key_paired_comparisons.png,Results
figure05,main_figure,Ceded BF development-pattern sensitivity,How important are ceded-specific BF development assumptions?,The ceded-specific standard BF pattern changes MAPE by -30.1 percentage points on average versus Standard BF.,"Ceded-specific patterns are sensitivity variants, not replacement baselines.",outputs/final_analysis/step33_figures/figure05_ceded_bf_sensitivity.csv,outputs/final_analysis/step33_figures/figure05_ceded_bf_sensitivity.png,Results
figure06,main_figure,History-window accuracy and estimability,How does history length trade responsiveness against estimability?,"For ML models, the pooled 10-year minus 15-year conditional MAPE change is 76.6 percentage points; 7/5-year ML fits remain structurally unavailable.",Conditional MAPE is not assigned to structurally unavailable fits.,outputs/final_analysis/step33_figures/figure06_history_accuracy.csv,outputs/final_analysis/step33_figures/figure06_history_window_sensitivity.png,Discussion
figure07,main_figure,Prior misspecification sensitivity,How do EL and BF respond to prior scaling?,Expected Loss mean bias spans approximately 135.0 percentage points across the frozen multiplier grid.,The realised lowest-error multiplier is not a recalibrated or correct prior.,outputs/final_analysis/step33_figures/figure07_prior_sensitivity.csv,outputs/final_analysis/step33_figures/figure07_prior_sensitivity.png,Discussion
figure08,main_figure,Treaty indexation effect on portfolio ceded share,How materially does treaty indexation change ceded outcomes?,Fully indexed treaty terms change mean ceded share by -10.5 percentage points versus fixed nominal terms.,"Step 32 lacks treaty ceded share by accident year, so scenario-level portfolio means are shown.",outputs/final_analysis/step33_figures/figure08_treaty_indexation.csv,outputs/final_analysis/step33_figures/figure08_treaty_indexation.png,Discussion
table01,main_table,Baseline model performance summary,Baseline model performance summary,Pooled baseline accuracy and success across all nine scenarios.,Conditional MPE/MAPE and unconditional success must be interpreted together.,outputs/final_analysis/step33_tables/table01_baseline_model_summary.csv,outputs/final_analysis/step33_tables/table01_baseline_model_summary.csv,Results
table02,main_table,Structural-break model performance,Structural-break model performance,"Across break scenarios, ceded mean MAPE is 63.7% for the interaction model versus 108.7% for Poisson; gross effects remain scenario-dependent.",Conditional accuracy only.,outputs/final_analysis/step33_tables/table02_structural_break_models.csv,outputs/final_analysis/step33_tables/table02_structural_break_models.csv,Results
table03,main_table,Key paired-comparison evidence,Key paired-comparison evidence,"Among the selected ceded break comparisons, paired intervals favour A in 12 of 15 rows.",Bootstrap labels are descriptive and use frozen Step 31 intervals.,outputs/final_analysis/step33_tables/table03_key_paired_comparisons.csv,outputs/final_analysis/step33_tables/table03_key_paired_comparisons.csv,Results
table04,main_table,Ceded BF development sensitivity,Ceded BF development sensitivity,The ceded-specific standard BF pattern changes MAPE by -30.1 percentage points on average versus Standard BF.,Differences are percentage points and variants remain sensitivities.,outputs/final_analysis/step33_tables/table04_ceded_bf.csv,outputs/final_analysis/step33_tables/table04_ceded_bf.csv,Results
table05,main_table,History-window sensitivity,History-window sensitivity,"For ML models, the pooled 10-year minus 15-year conditional MAPE change is 76.6 percentage points; 7/5-year ML fits remain structurally unavailable.",Pooled rows use successful simulations for MAPE and all scheduled rows for success.,outputs/final_analysis/step33_tables/table05_history_window.csv,outputs/final_analysis/step33_tables/table05_history_window.csv,Discussion
table06,main_table,Prior sensitivity,Prior sensitivity,Expected Loss mean bias spans approximately 135.0 percentage points across the frozen multiplier grid.,MPE is descriptive bias; no multiplier is reselected.,outputs/final_analysis/step33_tables/table06_prior_sensitivity.csv,outputs/final_analysis/step33_tables/table06_prior_sensitivity.csv,Discussion
table07,main_table,Treaty indexation sensitivity,Treaty indexation sensitivity,Fully indexed treaty terms change mean ceded share by -10.5 percentage points versus fixed nominal terms.,Treaty variants change outcomes and have no estimator APE.,outputs/final_analysis/step33_tables/table07_treaty_indexation.csv,outputs/final_analysis/step33_tables/table07_treaty_indexation.csv,Discussion
